contact.0.cellphone,contact.0.name,contact.0.surname,contact.1.cellphone,contact.1.name,contact.1.surname,person.address.address,person.address.cap,person.address.house_number,person.address.municipality,person.birthdate,person.cellphone,person.codice_fiscale,person.name,person.sex,person.surname,test.0.datetime,test.0.healtcarePersonnel.codice_fiscale,test.0.healtcarePersonnel.name,test.0.healtcarePersonnel.surname,test.0.id_authorized_body,test.0.result,test.0.type,test.1.datetime,test.1.healtcarePersonnel.codice_fiscale,test.1.healtcarePersonnel.name,test.1.healtcarePersonnel.surname,test.1.id_authorized_body,test.1.result,test.1.type,test.2.datetime,test.2.healtcarePersonnel.codice_fiscale,test.2.healtcarePersonnel.name,test.2.healtcarePersonnel.surname,test.2.id_authorized_body,test.2.result,test.2.type,test.3.datetime,test.3.healtcarePersonnel.codice_fiscale,test.3.healtcarePersonnel.name,test.3.healtcarePersonnel.surname,test.3.id_authorized_body,test.3.result,test.3.type,vaccination.0.brand,vaccination.0.datetime,vaccination.0.dose,vaccination.0.healtcarePersonnel.codice_fiscale,vaccination.0.healtcarePersonnel.name,vaccination.0.healtcarePersonnel.surname,vaccination.0.id_authorized_body,vaccination.0.lot,vaccination.0.production_date,vaccination.0.type,vaccination.1.brand,vaccination.1.datetime,vaccination.1.dose,vaccination.1.healtcarePersonnel.codice_fiscale,vaccination.1.healtcarePersonnel.name,vaccination.1.healtcarePersonnel.surname,vaccination.1.id_authorized_body,vaccination.1.lot,vaccination.1.production_date,vaccination.1.type
+39350784540,Giuliana,Saponaro,+39331622280,Valentina,Rapisarda,Corso Giuseppe Mazzini,70018,46,Rutigliano,1960-11-15,+39392247644,CNTTZN60S15B649N,Terzino,M,Conti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderna,2021-04-18 02:08:47,1,CSTLGN94R06F609J,Luigino,Costa,61acd3e25ca7e964a122def4,277,2020-09-22 00:00:00,mRNA vaccine,Moderna,2021-05-16 02:08:47,2,MSSGPP28A59D518S,Giuseppa,Messina,61acd3e25ca7e964a122dee8,309,2020-10-13 00:00:00,mRNA vaccine
+393144175085,Francesco,Vella,+393443226418,Artiom,Santilli,Via Roma,24010,14,Gerosa,1989-04-24,+39399270224,DSNLRA89D64G276R,Laura,F,De Santis,2021-12-12 17:28:52,FBBLNZ29S22G879A,Lorenzo,Fabbri,61acd3e25ca7e964a122dee5,Negative,Antigen,2021-12-10 11:31:56,RCCGNN75M07D458R,Giovanni Carlo,Ricci,61acd3e25ca7e964a122deed,Negative,Molecular,,,,,,,,,,,,,,,AstraZeneca,2021-04-09 02:13:59,1,BLTCRL48H69E704H,Carola,Belotti,61acd3e25ca7e964a122def0,168,2020-09-08 00:00:00,vector vaccine,,,,,,,,,,
+39321639514,Anna Sofia,Perri,+39399306926,Samantha,Sanna,Via Tedesca,36010,29,Carre',1990-01-21,+393171826458,MRNSLV90A61A096V,Silvia,F,Mariani,2021-12-08 19:37:10,FBBLNZ29S22G879A,Lorenzo,Fabbri,61acd3e25ca7e964a122dee5,Negative,Antigen,,,,,,,,,,,,,,,,,,,,,,AstraZeneca,2021-06-28 04:59:51,1,MROFNC01D19I025Y,Francesco Pio,Mora,61acd3e25ca7e964a122def3,488,2020-11-08 00:00:00,vector vaccine,,,,,,,,,,
+39328084058,Giancarlo Teresio,Lai,+39387232511,Addolorata,Sanna,Via Valeria Tiburtina,65129,260,Pescara,1930-02-25,+39392509081,TRVLDR30B25B598K,Leandro,M,Trevisan,2021-11-20 19:41:40,MNNGLG35P12G290F,Gianluigi,Menna,61acd3e25ca7e964a122deed,Negative,Antigen,,,,,,,,,,,,,,,,,,,,,,Pfizer-BioNTech,2021-03-21 06:52:49,1,CSTLGN94R06F609J,Luigino,Costa,61acd3e25ca7e964a122def4,168,2020-09-08 00:00:00,mRNA vaccine,,,,,,,,,,
+393151802968,Natalina,Sanfilippo,+393392957882,Raffaella,Calligaris,Via Trento,84100,48/B,Salerno,1929-06-16,+393434389072,GNTMRS29H56A098E,Maria Rosa,F,Giunta,2021-11-15 10:10:26,MRLNRC22M59B172W,Enrica,Marelli,61acd3e25ca7e964a122deed,Positive,Antigen,2021-11-19 00:27:25,PLMRRT33E60B357C,Robertina,Palumbo,61acd3e25ca7e964a122dee6,Positive,Molecular,2021-11-28 05:34:12,NGLSRN70T51F044U,Serena,Angelini,61acd3e25ca7e964a122dee4,Negative,Antigen,,,,,,,,Pfizer-BioNTech,2021-04-25 03:25:21,1,RMNSRG31M20L583K,Sergio,Romano,61acd3e25ca7e964a122dee7,309,2020-10-13 00:00:00,mRNA vaccine,,,,,,,,,,
+39383390276,Mauro,Sechi,+393527404883,Alberto,Sala,Via Traquandi,52025,8,Montevarchi,1942-10-29,+39320822807,ZZIRNN42R69E435K,Rosanna,F,Iezzi,2021-11-16 15:46:56,CNTNNG66D42G148H,Inyang Effiong,Conti,61acd3e25ca7e964a122dee1,Negative,Antigen,,,,,,,,,,,,,,,,,,,,,,Johnson & Johnson,2021-09-11 15:30:33,1,RSSDNS35M31M119Q,Dionis,Rossi,61acd3e25ca7e964a122dee7,488,2020-11-08 00:00:00,vector vaccine,Johnson & Johnson,2021-10-09 15:30:33,2,FRRMSM48T15B418T,Massimiliano,Ferrero,61acd3e25ca7e964a122deee,899,2020-12-06 00:00:00,vector vaccine
+393663854264,Iolanda,Piana,+393862822838,Luciana,Pozzo,Via Settembrini,76012,9,Canosa Di Puglia,1960-11-12,+39369531068,RSSSVT60S12F963B,Salvatore,M,Rossi,2021-12-01 10:16:33,FRNGRL35T23A844M,Gabriele,Fornara,61acd3e25ca7e964a122deec,Positive,Molecular,,,,,,,,,,,,,,,,,,,,,,Moderna,2021-03-10 17:14:01,1,MRLNRC22M59B172W,Enrica,Marelli,61acd3e25ca7e964a122deed,298,2020-10-03 00:00:00,mRNA vaccine,,,,,,,,,,
+393535761750,Sonia,Rossi,+393478562398,Moussa,Meloni,Viale San Martino Is.13,98124,Ndeg 352,Messina,1999-09-07,+39377039845,MGNCCL99P47E232D,Cecilia,F,Magnani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnson & Johnson,2021-04-18 14:55:49,1,RMNSRG31M20L583K,Sergio,Romano,61acd3e25ca7e964a122dee7,289,2020-09-28 00:00:00,vector vaccine,,,,,,,,,,
+393983711492,Lino,Bianchi,+393166014419,Dile,Palmisani,Piazza G. Bonacossa,27020,8,Dorno,1943-11-11,+39341332288,VLTGRL43S11I498A,Gabriel,M,Vailati,2021-11-26 11:30:09,ZNNLCU80H62C422B,Lucia,Zennaro,61acd3e25ca7e964a122dee2,Positive,Molecular,,,,,,,,,,,,,,,,,,,,,,Moderna,2021-12-20 09:19:38,1,PNNPLA97H49C818K,Paola,Pinna,61acd3e25ca7e964a122deeb,200,2020-09-15 00:00:00,mRNA vaccine,Moderna,2022-01-17 09:19:38,2,CRRMSM23L12C964S,Massimiliano,Carraro,61acd3e25ca7e964a122deea,105,2020-08-17 00:00:00,mRNA vaccine
+393412354091,Sabry,Barbieri,+393835794591,Ion,Esposito,Via Po,64100,78,Teramo,1993-10-02,+393367849863,RCCRNN93R42A445C,Arianna,F,Ricci,2021-11-27 13:43:19,ZNNLCU80H62C422B,Lucia,Zennaro,61acd3e25ca7e964a122dee2,Positive,Antigen,2021-12-08 10:01:46,CSTLBR01H07L030N,Lamberto,Costa,61acd3e25ca7e964a122deeb,Positive,Molecular,2021-11-13 08:57:41,CRRMSM23L12C964S,Massimiliano,Carraro,61acd3e25ca7e964a122deea,Positive,Antigen,,,,,,,,Pfizer-BioNTech,2021-11-27 04:29:03,1,MRLNRC22M59B172W,Enrica,Marelli,61acd3e25ca7e964a122deed,277,2020-09-22 00:00:00,mRNA vaccine,,,,,,,,,,
+393634362616,Ginevra,Perri,+39396567022,Dario,Bortot,Corso Umberto I,81050,65,Santa Maria La Fossa,1998-10-06,+39321128572,SPNBLY98R06L093A,Abdoulaye,M,Spano,2021-11-19 10:12:50,MRLNRC22M59B172W,Enrica,Marelli,61acd3e25ca7e964a122deed,Positive,Molecular,,,,,,,,,,,,,,,,,,,,,,Pfizer-BioNTech,2021-12-04 05:57:54,1,PNNPLA97H49C818K,Paola,Pinna,61acd3e25ca7e964a122deeb,309,2020-10-13 00:00:00,mRNA vaccine,Pfizer-BioNTech,2022-01-01 05:57:54,2,CSTLGN94R06F609J,Luigino,Costa,61acd3e25ca7e964a122def4,488,2020-11-08 00:00:00,mRNA vaccine
+393246644152,Barbara,Iacono,+39380869026,Rosario,Bianchi,Piazza Delle Erbe,36100,21,Vicenza,1922-10-06,+39392928215,DRNGPL22R06E946I,Gianpaolo,M,Doronzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+39332183036,Giovanni Paolo,Privitera,+39321821012,Silvia Angela,Rossi,Via Tibaldi,20136,15,Milano,1975-07-27,+39347636163,RSSFRZ75L27M121F,Fabrizio,M,Rossi,2021-12-03 09:01:57,FBBLNZ29S22G879A,Lorenzo,Fabbri,61acd3e25ca7e964a122dee5,Negative,Antigen,2021-12-11 03:48:03,VCHGRT72E50F677K,Greta,Vichi,61acd3e25ca7e964a122def0,Negative,Antigen,2021-12-12 03:27:17,FRRMGR56T69E795D,Mariagrazia,Ferrari,61acd3e25ca7e964a122def0,Negative,Molecular,2021-11-17 20:38:42,ZNNLCU80H62C422B,Lucia,Zennaro,61acd3e25ca7e964a122dee2,Negative,Molecular,Pfizer-BioNTech,2021-01-30 21:06:59,1,RSSSDR85P46L380X,Sandra,Rossi,61acd3e25ca7e964a122dee8,589,2020-12-03 00:00:00,mRNA vaccine,Pfizer-BioNTech,2021-02-27 21:06:59,2,VCHGRT72E50F677K,Greta,Vichi,61acd3e25ca7e964a122def0,589,2020-12-03 00:00:00,mRNA vaccine
+393165306036,Alice,Rizzi,+393420105430,Najat,De Luca,Largo Ignazio Ciaia,70125,10,Bari,1974-01-12,+39326938049,NTLGAI74A52A512F,Gaia,F,Natale,2021-11-27 19:27:26,PNNPLA97H49C818K,Paola,Pinna,61acd3e25ca7e964a122deeb,Positive,Molecular,2021-11-25 16:07:11,FRRGNN94B49G820Z,Giovanna,Ferrari,61acd3e25ca7e964a122deef,Positive,Molecular,,,,,,,,,,,,,,,Pfizer-BioNTech,2021-10-24 09:11:05,1,CRSGPP88D18I202A,Giuseppe,Caruso,61acd3e25ca7e964a122def3,307,2020-10-06 00:00:00,mRNA vaccine,,,,,,,,,,
+393903195231,Rihan,Epifani,+39338821049,Sharon,Arena,Via Nocelle,81050,1/a,Portico Di Caserta,1975-03-25,+39398856559,FRRVNT75C65H957M,Valentina,F,Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnson & Johnson,2021-01-30 16:51:17,1,MRLNRC22M59B172W,Enrica,Marelli,61acd3e25ca7e964a122deed,444,2020-11-06 00:00:00,vector vaccine,Johnson & Johnson,2021-02-27 16:51:17,2,FBBDNL25D66D121N,Daniela,Fabbri,61acd3e25ca7e964a122dee8,309,2020-10-13 00:00:00,vector vaccine
+39337606013,Giovanna,Melis,+393237266402,Giovanni,Bruni,Piazza Vittorio Emanuele Ii,5012,3,Attigliano,1993-08-09,+39376606090,LAIRCR93M09B789Q,Riccardo,M,Lai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AstraZeneca,2021-04-14 08:33:31,1,QNTFNC85R44A196Z,Francesca,Quinto,61acd3e25ca7e964a122deef,457,2020-11-07 00:00:00,vector vaccine,AstraZeneca,2021-05-12 08:33:31,2,MROFNC01D19I025Y,Francesco Pio,Mora,61acd3e25ca7e964a122def3,289,2020-09-28 00:00:00,vector vaccine
+393567662874,Margherita,Romeo,+39391092409,Anna,Fabbri,Via A. Zarini,59100,114/A,Prato,1978-11-23,+393153542012,GRSNRO78S63G402T,Nour,F,Grasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AstraZeneca,2021-11-08 01:36:53,1,QNTFNC85R44A196Z,Francesca,Quinto,61acd3e25ca7e964a122deef,307,2020-10-06 00:00:00,vector vaccine,,,,,,,,,,
+393989850108,Manuela,Greco,+39323810794,Aurora,Rossi,Via Roma,51018,47,Pieve A Nievole,1969-12-06,+393688916627,TGLPMR69T46L715R,Paola Maria,F,Tagliabue,2021-12-02 03:59:36,FRRGNN94B49G820Z,Giovanna,Ferrari,61acd3e25ca7e964a122deef,Negative,Molecular,2021-12-05 16:25:13,RSSSDR85P46L380X,Sandra,Rossi,61acd3e25ca7e964a122dee8,Positive,Antigen,,,,,,,,,,,,,,,Pfizer-BioNTech,2021-11-22 02:07:31,1,CPPLDA40S54I281T,Alda,Coppola,61acd3e25ca7e964a122deea,105,2020-08-17 00:00:00,mRNA vaccine,Pfizer-BioNTech,2021-12-20 02:07:31,2,CPPLDA40S54I281T,Alda,Coppola,61acd3e25ca7e964a122deea,200,2020-09-15 00:00:00,mRNA vaccine
+393184255257,Adriano,Rossi,+39377435657,Maria,Capriotti,Corso Libertà,13878,100,Candelo,1934-07-08,+39325825395,BNCGPP34L08L797A,Giuseppe,M,Bianchi,2021-11-16 14:33:57,RSSLCU32P09L244G,Luca,Rossi,61acd3e25ca7e964a122deee,Negative,Antigen,,,,,,,,,,,,,,,,,,,,,,Moderna,2021-03-30 10:47:26,1,VCHGRT72E50F677K,Greta,Vichi,61acd3e25ca7e964a122def0,488,2020-11-08 00:00:00,mRNA vaccine,,,,,,,,,,
+39355995962,Pierina,Sala,+39374597806,Lucia,Rosati,Via Lusani,13040,12,Saluggia,1954-05-20,+39353111737,LGRSLV54E60D508Z,Silvia,F,Ligorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pfizer-BioNTech,2021-02-06 13:01:48,1,FRRGNN94B49G820Z,Giovanna,Ferrari,61acd3e25ca7e964a122deef,128,2020-08-27 00:00:00,mRNA vaccine,,,,,,,,,,
+39347767127,Marco,Cavallari,+393263002764,Giuseppe,Lucchesi,Viale Dell`appennino,47100,146,Forli',1995-03-10,+39369691302,BRTPRZ95C50B671J,Patrizia,F,Beretta,2021-12-01 02:47:05,BRGGPP97B07G602X,Giuseppe,Brogi,61acd3e25ca7e964a122dee9,Positive,Molecular,,,,,,,,,,,,,,,,,,,,,,AstraZeneca,2021-12-15 00:07:42,1,GLNDRD91A31D211R,Eduard,Giuliani,61acd3e25ca7e964a122dee9,569,2020-11-11 00:00:00,vector vaccine,,,,,,,,,,
+39363761374,Nicolo' Francesco,Spina,+39353740858,Klodoaldo,Pinna,Piazza Matteotti,35022,12,Anguillara Veneta,1945-07-20,+39374536631,CRNGLI45L60G785Z,Giulia,F,Carnovale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnson & Johnson,2021-09-13 22:42:56,1,RMNSRG31M20L583K,Sergio,Romano,61acd3e25ca7e964a122dee7,298,2020-10-03 00:00:00,vector vaccine,,,,,,,,,,
+393932753931,Alice,Musso,+39347820030,Nicholas,Ruggiero,Via Rocco Jemma,90129,101,Palermo,1987-07-02,+39364762613,GLLLGN87L42C081P,Luigina,F,Gallo,2021-11-14 15:04:36,PLMRRT33E60B357C,Robertina,Palumbo,61acd3e25ca7e964a122dee6,Negative,Molecular,,,,,,,,,,,,,,,,,,,,,,Pfizer-BioNTech,2021-03-23 04:05:29,1,RSSDNS35M31M119Q,Dionis,Rossi,61acd3e25ca7e964a122dee7,457,2020-11-07 00:00:00,mRNA vaccine,Pfizer-BioNTech,2021-04-20 04:05:29,2,FRRDNT40P19B048J,Donato,Ferraro,61acd3e25ca7e964a122def4,368,2020-10-24 00:00:00,mRNA vaccine
+393220489015,Simone,Fusco,+39358884853,Angelica,Luciani,Via Custoza,37068,2/a,Vigasio,1980-08-17,+39344256611,RNALSS80M17L308Z,Alessio,M,Arena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pfizer-BioNTech,2021-02-20 02:00:53,1,QNTFNC85R44A196Z,Francesca,Quinto,61acd3e25ca7e964a122deef,917,2020-12-12 00:00:00,mRNA vaccine,,,,,,,,,,
+393706712250,Yllka,Gentili,+39330345898,Leonardo,Molteni,Via Giacomo Matteotti,28077,7,Prato Sesia,1933-05-29,+393733387938,CTTCLD33E29B286O,Claudio,M,Cattaneo,2021-11-29 21:30:21,DSNLCN75P67A297X,Luciana,De Santis,61acd3e25ca7e964a122deeb,Negative,Molecular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+393511532779,Francesco,Niccolai,+39364862263,Gianluca,Torrisi,Via Casere,66010,71,Pretoro,1997-10-09,+39388054235,FMRNDR97R09G251N,Andrea,M,Fumarola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AstraZeneca,2021-09-21 22:48:21,1,QNTFNC85R44A196Z,Francesca,Quinto,61acd3e25ca7e964a122deef,444,2020-11-06 00:00:00,vector vaccine,AstraZeneca,2021-10-19 22:48:21,2,RLLFNC44L54F061P,Francesca,Rallo,61acd3e25ca7e964a122deec,401,2020-10-28 00:00:00,vector vaccine
+393130677366,Elinor,Bressan,+39342634099,Andrea,Melandri,Via Camozzi,24121,138,Bergamo,1943-06-28,+393325311139,SRRNNA43H68E252N,Anna,F,Serra,2021-12-09 06:42:16,RSSLRI79C47D493P,Ilaria,Rossi,61acd3e25ca7e964a122dee3,Negative,Molecular,2021-11-13 18:49:12,PLMRRT33E60B357C,Robertina,Palumbo,61acd3e25ca7e964a122dee6,Negative,Antigen,2021-11-26 17:20:32,FRRMGR56T69E795D,Mariagrazia,Ferrari,61acd3e25ca7e964a122def0,Negative,Molecular,2021-12-04 11:00:23,RMNSRG31M20L583K,Sergio,Romano,61acd3e25ca7e964a122dee7,Negative,Molecular,AstraZeneca,2021-10-26 16:51:24,1,RSSDNS35M31M119Q,Dionis,Rossi,61acd3e25ca7e964a122dee7,488,2020-11-08 00:00:00,vector vaccine,AstraZeneca,2021-11-23 16:51:24,2,RSSMLG65S42D995R,Mihaela Gabriela,Russo,61acd3e25ca7e964a122deee,409,2020-10-30 00:00:00,vector vaccine
+393903039633,Helenja,Galli,+393381349518,Livio,Santoro,Via Risorgimento,37068,2/a,Vigasio,1969-12-26,+393552358012,LNRSFN69T26I381R,Stefano,M,Leonardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AstraZeneca,2021-01-25 04:05:18,1,RSSDNS35M31M119Q,Dionis,Rossi,61acd3e25ca7e964a122dee7,899,2020-12-06 00:00:00,vector vaccine,AstraZeneca,2021-02-22 04:05:18,2,CCHPQL76T26G953T,Pasquale,Occhipinti,61acd3e25ca7e964a122dee9,917,2020-12-12 00:00:00,vector vaccine
+393372298015,Jorge Alejandro,Testa,+39360314871,Paola,Ricci,Via Bonfante,18100,64/6,Imperia,1975-11-25,+39328452952,MRNDRT75S25B635K,Eduart,M,Mariani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AstraZeneca,2021-01-25 00:58:22,1,FRRGNN94B49G820Z,Giovanna,Ferrari,61acd3e25ca7e964a122deef,350,2020-10-17 00:00:00,vector vaccine,AstraZeneca,2021-02-22 00:58:22,2,FRRMSM48T15B418T,Massimiliano,Ferrero,61acd3e25ca7e964a122deee,917,2020-12-12 00:00:00,vector vaccine
+39364336098,Paola,Rodigari,+393208919373,Franco,Piras,Via Roma,15033,170,Casale Monferrato,1926-10-13,+39387334404,DLCVNI26R53M260X,Ivana,F,De Lucia,2021-11-13 09:57:34,RSSSDR85P46L380X,Sandra,Rossi,61acd3e25ca7e964a122dee8,Positive,Molecular,2021-12-09 15:11:50,RSSSDR85P46L380X,Sandra,Rossi,61acd3e25ca7e964a122dee8,Positive,Molecular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
