person.address.address,person.address.cap,person.address.house_number,person.address.municipality,person.birthdate,person.cellphone,person.codice_fiscale,person.name,person.sex,person.surname,vaccination.0.datetime,vaccination.0.dose,vaccination.0.healtcarePersonnel.cellphone,vaccination.0.healtcarePersonnel.codice_fiscale,vaccination.0.healtcarePersonnel.name,vaccination.0.healtcarePersonnel.role,vaccination.0.healtcarePersonnel.surname,vaccination.0.type,vaccination.1.datetime,vaccination.1.dose,vaccination.1.healtcarePersonnel.name,vaccination.1.healtcarePersonnel.surname,vaccination.1.healtcarePersonnel.codice_fiscale,vaccination.1.healtcarePersonnel.cellphone,vaccination.1.healtcarePersonnel.role,vaccination.1.type,vaccination.0.id,vaccination.1.id,test.0.healtcarePersonnel.name,test.0.healtcarePersonnel.surname,test.0.healtcarePersonnel.codice_fiscale,test.0.healtcarePersonnel.cellphone,test.0.healtcarePersonnel.role,test.0.type,test.0.result,test.0.datetime,test.0.id,test.1.healtcarePersonnel.name,test.1.healtcarePersonnel.surname,test.1.healtcarePersonnel.codice_fiscale,test.1.healtcarePersonnel.cellphone,test.1.healtcarePersonnel.role,test.1.type,test.1.result,test.1.datetime,test.1.id,test.2.healtcarePersonnel.name,test.2.healtcarePersonnel.surname,test.2.healtcarePersonnel.codice_fiscale,test.2.healtcarePersonnel.cellphone,test.2.healtcarePersonnel.role,test.2.type,test.2.result,test.2.datetime,test.2.id,test.3.healtcarePersonnel.name,test.3.healtcarePersonnel.surname,test.3.healtcarePersonnel.codice_fiscale,test.3.healtcarePersonnel.cellphone,test.3.healtcarePersonnel.role,test.3.type,test.3.result,test.3.datetime,test.3.id,contact.0.name,contact.0.surname,contact.0.cellphone,contact.1.name,contact.1.surname,contact.1.cellphone
Viale Vittorio Veneto,95127,135,Catania,1979-10-13,+393400266115,BNCLSS79R13B256X,Alessio,M,Bianchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlo,Zeni,ZNECRL60B19M113T,+39373335426,other,Antigen,Negative,2021-01-25 05:58:15,3bda580e-6046-4fc4-9f8b-cfe24be28def,,,,,,,,,,Giorgia,Di Girolamo,DGRGRG70T70F616M,+393479558719,other,Antigen,Negative,2021-09-12 20:04:18,db741029-032b-48d1-8c27-cbeefe41e17f,Roberto Giuseppe,Talarico,+39380207432,Eugenio,Baldi,+39373970817
Piazza G. G. Pontano,6040,8,Cerreto Di Spoleto,1934-01-13,+393716131864,RCCGLR34A53F868L,Gloria,F,Ricci,2021-03-27 09:31:40,1,+393103269692,SNNNGL44T68I402C,Angela,doctor,Sanna,Johnson & Johnson,,,,,,,,,aa07c4cd-f75d-47f2-9f49-044e814ea404,,Elena,Mazzoni,MZZLNE89H62C418G,+393909965172,doctor,Molecular,Negative,2021-08-27 09:11:07,8895133c-330d-409d-8c56-1391ceed258f,,,,,,,,,,Ernesta,Baldi,BLDRST41S52L522Z,+393877394502,nurse,Antigen,Negative,2021-04-28 03:51:13,480701f3-c7c9-4c6e-83c5-12bac7181c19,,,,,,,,,,Moncef,Costa,+39360488469,Amalia Marisa,Parodi,+39387357640
Via Cupa S. Cesarea,80144,26,Napoli,1999-06-28,+393401913647,PSTVTR99H28B067Y,Valter Pietro Dario,M,Pastorino,2021-03-10 23:41:59,1,+39338313754,CRRNDR41H05B182R,Andrea,nurse,Cerrani,Johnson & Johnson,2021-04-07 23:41:59,2,Giacomo,Vailati,VLTGCM93C24L389P,+393605689652,doctor,Johnson & Johnson,19cdfa09-a034-4f3f-830a-6af25e69e167,2076b353-d295-4be8-b476-d9eb9cf79c42,,,,,,,,,,Clivia,Miglio,MGLCLV62M53C166V,+393975702080,other,Antigen,Negative,2021-02-02 04:34:44,144af270-8784-4e9f-81de-5c80d615ce2f,,,,,,,,,,,,,,,,,,,Anna,Giusti,+39351284468,Luca,Bruzzone,+39324416244
Via Guglielmo Marconi,32010,1,Tambre,1977-06-27,+393345468450,CLMRRT77H27C395N,Roberto,M,Colombo,,,,,,,,,,,,,,,,,,,Ada,Degano,DGNDAA03M71G284Q,+39359566162,doctor,Antigen,Negative,2021-04-06 17:47:38,d5864e6a-92be-4ded-aef7-f7de23875350,Ibrahima,Medeot,MDTBHM93R16E124Y,+393185911789,nurse,Antigen,Negative,2021-02-18 13:12:39,21762ec0-cf47-438c-97ac-fdbdd5b9bb93,Vera,Bortoluzzi,BRTVRE73L43I866R,+393627652183,nurse,Antigen,Negative,2021-04-02 00:13:40,e3f753bb-ead9-4910-95cc-fb0ed652f4d1,,,,,,,,,,Luciano,De Angelis,+393668043774,Paolo,Torresi,+39374341642
Via Nazionale,16039,131,Sestri Levante,1924-03-28,+39376196912,RMOMLY24C68G288S,Emily,F,Romeo,2021-02-16 20:16:55,1,+39328197600,GRNLVR78A57A570D,Elvira,other, Guarneri,Johnson & Johnson,,,,,,,,,e6856813-a752-46fc-8d00-eaf2c17f4589,,,,,,,,,,,Federico,Serra,SRRFRC64C21B274W,+393566840846,other,Antigen,Positive,2021-10-03 23:59:39,25f49ab4-b0dd-4628-aa53-2b7d4babf1ab,,,,,,,,,,,,,,,,,,,Denis,Porcu,+393910613665,Valentina,Malagoli,+393383320535
Via Roma,36070,8,Nogarole Vicentino,1992-06-12,+393953798651,FLRLCU92H12D970Q,Luca,M,Floris,,,,,,,,,,,,,,,,,,,Ignazio,Proietti,PRTGNZ54L16G881Z,+39350344300,nurse,Molecular,Negative,2021-12-03 06:00:18,e8a82937-7f4b-4161-88db-076b052e350a,,,,,,,,,,Gladis Dina,Russo,RSSGDS94B50G292V,+39328934756,nurse,Antigen,Positive,2021-01-03 09:50:57,939dfc27-b1d9-48d7-a5eb-21efa2ebeb90,Alice,Ferrari,FRRLCA63M61H827L,+39362419969,nurse,Antigen,Positive,2021-07-22 13:45:51,ebbb4c6e-58ad-4915-96ae-0f33ada4b65a,Lorenzo Giovanni Bruno,Fumagalli,+39331212968,Luigina,Concas,+393501472968
Via Dante Alighieri,00060,45,Riano,1956-06-04,+39345854464,PRGMRC56H04A301F,Marco,M,Perego,2021-09-22 15:25:23,1,+393916539116,VNLMRA70H21C950I,Mario,doctor,Vianello,AstraZeneca,,,,,,,,,6f382ba1-dd34-4a2e-b253-3ca641ef2d38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbara,Zanatta,+39384903241,Namik,Floris,+39383622491
Corso Vittorio Emanuele,07044,69,Ittiri,1940-03-26,+39329552424,SNTLGU40C66L439I,Luigia,F,Santoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudia,Lombardo,LMBCLD52S60I356Q,+393649237549,nurse,Molecular,Positive,2021-01-05 02:43:27,e5d9d84d-123f-47f0-a302-7574d971e6a6,,,,,,,,,,Alessandro,D'Angelo,DNGLSN02C23L526Z,+393688152771,doctor,Molecular,Positive,2021-10-15 06:35:15,db13b7ce-416b-463c-b38a-e6cb44ba9dca,Andrea,Zanetti,+39330745412,Elena,Rossi,+393687931950
Via Duca D'aosta,80026,43 a-b-c,Casoria,2002-04-27,+39376839894,DMRVSL02D27H922F,Vito Salvatore,M,Di Mauro,2021-10-29 01:14:23,1,+393696248029,FBBDRT39P61I304P,Drita,doctor,Fabbri,AstraZeneca,2021-11-26 01:14:23,2,Christopher,Menegatti,MNGCRS98B21F026Y,+39333339086,other,AstraZeneca,c8954ef8-6124-47e4-bed1-465a33656455,0f65ffe7-bac2-4015-9b1d-84da3158c128,Patrizia,Occhipinti,CCHPRZ34L62A014F,+39354283599,nurse,Molecular,Negative,2021-06-23 00:48:18,f4a7f49a-a720-4283-a9c0-b0865287d341,Carla,Epifani,PFNCRL92P51C424Y,+393931158158,doctor,Antigen,Negative,2021-03-09 06:03:29,0ec4b763-4577-4ee0-b501-943a1c0f701f,,,,,,,,,,Francesca,Visentin,VSNFNC70D70G115X,+393296335021,nurse,Molecular,Negative,2021-03-05 04:09:01,d40488c4-a4fd-44d7-8152-5f5deb5cc9d9,Saddik,Vezzoli,+39340861634,Simona,Ferrando,+39328249169
Piazza Santa Maria,07100,32,Sassari,1933-11-04,+393169160502,DSNZHR33S44E330Y,Zohra,F,De Santis,2021-09-01 18:30:34,1,+393809593944,CRPDNC65T70B272G,Domenica Noemi,nurse,Crippa,AstraZeneca,,,,,,,,,4cf2a6a9-3ebd-44f8-ba90-9cfd51f952d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lacramioara Marioara,Ferrari,FRRLRM50P55G717O,+39345167839,doctor,Molecular,Negative,2021-02-15 08:30:16,c65d10c8-3ba7-4362-aa57-8ea5b6cd64c0,Michele,Babini,+393713986163,Rosalba,Rosset,+39394357903
Corso Tukory,90134,82,Palermo,1973-05-05,+393172703511,DPLTTI73E45G760N,Itto,F,Di Paolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gemma,Ferrara,FRRGMM86S66F426H,+39391990351,nurse,Antigen,Negative,2021-08-13 11:37:44,fdc31333-7e2c-47a7-804d-b784cbbe2b91,,,,,,,,,,Nataliya,Russo,+39394250719,Luigi,Conti,+39320458383
Via Matteotti,13010,106,Pezzana,1999-07-03,+393914738619,CRMNNZ99L03C304B,Nunzio,M,Cremonesi,2021-07-07 18:46:20,1,+39373216995,DSNMRA90A69D440B,Maria,other,De Santis,Moderna,2021-08-04 18:46:20,2,Luigi,Rossi,RSSLGU72R29D830E,+39397259562,other,Moderna,3482f113-85c8-4893-bdca-6a720448eb71,0447202a-84cf-4c16-b308-750bca30f894,Maria Roberta,Russo,RSSMRB63M59C342J,+39369458085,other,Molecular,Positive,2021-01-06 16:26:36,058175a7-d939-4934-b43d-8c8f9a3500a5,Antonio,Licitra,LCTNTN45E04C612L,+39383001005,nurse,Antigen,Positive,2021-09-25 13:53:48,bf783e9b-79ff-4e71-a7e0-e75b8c2c490b,Elisabetta,Mancini,MNCLBT30P69I973Q,+39323092319,other,Molecular,Positive,2021-11-11 10:42:40,bc457dce-e966-44c4-bbdd-9a1bc45c56dd,,,,,,,,,,Fatushe,Russo,+39363938676,Domenico,Arena,+393120608013
Via Marcantonio Colonna,67051,30/A,Avezzano,1984-02-15,+39368014799,BRSGPP84B55D645Z,Giuseppina,F,Bressan,2021-02-26 18:28:31,1,+39359264820,MNCDLE32R03E535A,Delio,other,Mancini,Moderna,2021-03-26 18:28:31,2,Maria,Basile,BSLMRA29M54L049V,+39385061886,other,Moderna,b173eebb-b883-4c6f-9b79-aca78b679514,be31a933-ae13-4a98-9c42-0685befdeac5,Lorenzo,Mauro,MRALNZ50B01G163U,+39367029359,doctor,Antigen,Negative,2021-12-16 03:04:02,80185a6e-59f1-43f8-b4c3-c7680e4fd1c6,Sanaa,Bressan,BRSSNA97T53D014F,+39325654690,other,Antigen,Positive,2021-12-23 19:19:30,b7c3235e-4149-4c8c-999e-db3abcf6fdbd,,,,,,,,,,Riccardo,Carminati,CRMRCR47H28E751D,+39362874544,doctor,Antigen,Positive,2021-07-12 23:06:34,dcb4d44b-d99c-4088-bede-67ad66686889,Sisto,Russo,+39359497657,Fabio,Mazza,+39366133300
Piazza Liberta',21020,9,Ternate,1972-03-16,+393848688963,PLMMSM72C16C514D,Massimo,M,Palumbo,2021-12-02 14:29:07,1,+393309717444,RMPLNE72S61G167U,Elena,doctor,Rampazzo,Johnson & Johnson,2021-12-30 14:29:07,2,Enrica Piera Maria,Donati,DNTNCP70M44M327X,+39346048726,other,Johnson & Johnson,5833382d-2921-4716-b003-f8df3c3d0d2c,5db7201f-5538-436f-a525-0712b4eca9ac,Gian Franco,Fabbro,FBBGFR79M25A983P,+393430497721,nurse,Antigen,Positive,2021-12-02 12:29:04,360958b5-732f-4589-995e-7b963fbae89b,Ilham,Mazzoleno,MZZLHM38T50E562N,+393664257446,doctor,Antigen,Positive,2021-12-10 15:56:38,a533f8b7-4780-44e4-846a-fa9275dc9698,,,,,,,,,,,,,,,,,,,Teodosio,Perrone,+393850764506,Gianluigi,Loi,+393958051511
Via Montini,25065,233,Lumezzane,1979-04-18,+39336075142,GRCRMR79D58B787H,Rosa Maria,F,Greco,2021-05-23 15:14:57,1,+393641944091,RSSMLE75B55B669L,Emilia,nurse,Rossi,Pfizer-BioNTech,,,,,,,,,f6a71359-66f1-4ed7-a7a0-235001a22330,,,,,,,,,,,,,,,,,,,,Karunakaran,Martini,MRTKNK89A23I796U,+39341787463,doctor,Antigen,Negative,2021-02-13 19:13:27,f29cada1-6899-4b92-9f57-9f9338d97d40,Fatjona,Marino,MRNFJN86D51B476H,+393426144128,nurse,Molecular,Negative,2021-06-09 05:05:56,c641062c-33b1-4385-b7bb-d2843bef3c72,Clara,Costa,+39380528092,Angela,Fabris,+39359327498
Via Marcello,84085,snc,Mercato San Severino,1953-09-17,+393664971355,RCCRSO53P57C648J,Rosa,F,Ricci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luca Mattia,Petronio,PTRLMT31E04F378M,+393575318465,doctor,Molecular,Negative,2021-09-15 01:45:57,8b3f97a7-eef7-4240-8f56-1c8063a9c722,Simone,De Santis,DSNSMN59D09F692W,+39383262042,doctor,Molecular,Positive,2021-04-23 23:39:13,9da7140e-7cba-4bb2-a85c-5b71a300fc9f,Francesco,Donati,+39341154098,Franco,Romano,+39347452578
Via Dell'aeronautica,42124,12,Reggio Nell'emilia,1996-01-23,+393387682280,LGNGZT96A63A385R,Grazietta,F,Laganà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marisa,Donati,DNTMRS62B56A864N,+39371893992,nurse,Antigen,Positive,2021-05-04 13:19:31,5c21b2e4-d3d3-461d-8a5b-a96cef99a4a1,Ernestino,Zuliani,+39330185047,Irene,Lovato,+39349342815
Via Degasperi,38023,30,Cles,1956-06-21,+393213333349,MRNTLI56H21H205T,Italo,M,Marino,2021-11-04 04:24:35,1,+39349820802,RMPSFN61C10F161X,Stefano,doctor,Rampazzo,Moderna,2021-12-02 04:24:35,2,Fabio,Carta,CRTFBA41M11I778R,+39392624094,nurse,Moderna,478ebb5b-6163-4530-aa45-734651f95f01,d358c9ca-df2e-4108-849a-b13d75b2d029,Ilaria,Vitali,VTLLRI83P46F497O,+393617467125,nurse,Antigen,Negative,2021-05-30 01:21:11,df0aafd1-0656-451a-97cd-6a0ac72c9ca5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franco Antonio,Ricci,+39328745285,Eni,Barbieri,+39384864787
Corso Roma,26900,79,Lodi,1997-11-16,+39390891973,FRRGNG97S56C987W,Giulia Angela,F,Ferrari,2021-10-09 01:12:38,1,+393643678619,GLLGLL66H64B216W,Gigliola,nurse,Gallo,Moderna,,,,,,,,,82753013-66c9-48b6-8513-625b399a8643,,,,,,,,,,,Silvana Teresa Rossana,Semeraro,SMRSVN74B42E469N,+393980828186,doctor,Molecular,Positive,2021-11-22 09:23:41,ea02fa46-e222-4b9b-af20-a5b25eef0e85,,,,,,,,,,Rosa,Piras,PRSRSO62C64G097P,+39337661160,doctor,Antigen,Negative,2021-06-27 04:28:27,ffeb98b0-04c6-4611-8b8f-58c8d5034602,Elena Nicoleta,Rossi,+393906413978,Cesare,Serra,+393248795915
Piazza Italia,09040,26,Villasalto,1950-02-18,+39375441170,CCHMLS50B18C927D,Emanuele Secondo,M,Occhipinti,2021-07-19 13:14:31,1,+39320750754,CTTLRD47R59A557P,Leonarda,nurse,Cattaneo,Moderna,,,,,,,,,e4d0252f-c54f-440f-951c-0b261c27d3cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nataliya,Messina,MSSNLY97C57F246R,+39331215746,other,Antigen,Positive,2021-07-11 14:17:27,e6b7e64a-dd34-4960-8b9a-e031a6e68d19,Marco,Piras,+393652771295,Luigi,Magnani,+39375274245
Viale Colombo,09045,126,Quartu Sant'elena,1971-04-01,+393720435636,LOIGCR71D01D665X,Gian Carlo,M,Loi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salvatore,Tesi,TSESVT49C23F410G,+39333673188,other,Antigen,Negative,2021-05-20 00:48:02,a3437520-885a-402a-b606-e789a392f722,Luisa,Lai,LAILSU81C65I271A,+39368894078,other,Antigen,Positive,2021-12-11 01:36:16,e376c9e5-9572-4ea1-8140-d971d6c42e7a,Ramon,Mosti,+39347818884,Andrea,Colangelo,+39376907112
Piazza Aldo Moro,70025,15,Grumo Appula,1960-09-28,+39351325939,CNNGLD60P28E946E,Gesualdo,M,Cannone,,,,,,,,,,,,,,,,,,,Libera,Montalbano,MNTLBR94P68E573B,+393998735703,doctor,Antigen,Negative,2021-10-18 15:43:55,0f6bb7be-c735-493f-b0e6-b622671dc94d,Moad,Rea,REAMDO39H09B543V,+393371375226,other,Antigen,Positive,2021-07-07 19:34:26,12514d56-1246-4b68-bd58-d6af797ad2e1,Paolina,Grasso,GRSPLN38A66I202B,+393894811106,other,Antigen,Positive,2021-01-23 20:23:22,6fc85a1c-1804-4251-9cb7-d5e38fa3eb1f,Giorgio,Carraro,CRRGRG49L19F382P,+393120092220,other,Molecular,Negative,2021-11-20 19:32:21,41f94587-4c30-4b27-aff5-acd1cc98b89a,Nilton Grimaldo,Sartori,+39357343313,Sergio,Traverso,+393266130007
Via Buranello,16149,240 r,Genova,1968-03-14,+39348059692,GLLLNZ68C54C472V,Lorenza,F,Gallo,,,,,,,,,,,,,,,,,,,Caterina,Miglio,MGLCRN95R49I052Z,+393105327788,doctor,Molecular,Positive,2021-05-14 12:32:04,dfb5a6f8-6b68-4ea7-8a2e-921279f809a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piero Domenico,Rossi,+39363899898,Giuseppe,Sechi,+39359426233
Via Ruberti,46026,14,Quistello,1947-12-20,+39379271979,PLLPRI47T20C631Y,Piero,M,Pellegrini,2021-08-21 18:22:24,1,+39362506310,VLILCJ22A56C755A,Lucije,doctor,Viale,Johnson & Johnson,,,,,,,,,d6847cf5-be13-454b-900f-9cf464dd0bbe,,,,,,,,,,,Silvia,Basso,BSSSLV96D48C385E,+39391657816,other,Antigen,Negative,2021-12-29 07:19:54,3f24a90f-5acc-4d65-9a4f-a7912b5e1a30,,,,,,,,,,,,,,,,,,,Miranda,Mantovani,+39353718578,Antonina,Battaglia,+393739251217
